id,question,options,correctAnswer
1,"What is SAP EWM and how does it differ from SAP WM?","['SAP EWM is an older version of SAP WM with limited functionality', 'SAP EWM is a more advanced warehouse management system with enhanced features and real-time processing capabilities', 'SAP EWM and SAP WM are identical systems with different names', 'SAP EWM is only for small warehouses while SAP WM is for large warehouses']",1
2,"What are the key features of SAP EWM?","['Basic inventory tracking and simple picking', 'Advanced warehouse management, labor management, yard management, and value-added services', 'Only inbound and outbound processing', 'Basic storage bin management']",1 
3,"Explain the different warehouse structures in SAP EWM.","['Only storage bins and sections', 'Warehouse number, storage type, storage section, and storage bin', 'Just warehouse number and storage bin', 'Storage type and storage bin only']",1
4,"What is a warehouse process type in SAP EWM?","['A type of storage bin', 'A predefined sequence of steps for warehouse operations like putaway, picking, or counting', 'A type of warehouse worker', 'A type of material']",1
5,"How does SAP EWM handle inbound and outbound processes?","['Only through manual processes', 'Through automated processes including goods receipt, putaway, picking, and goods issue', 'Only through basic inventory management', 'Through simple stock movements']",1
6,"What is slotting and why is it important in SAP EWM?","['A type of storage bin', 'The process of determining optimal storage locations based on product characteristics and demand patterns', 'A type of picking strategy', 'A type of warehouse layout']",1
7,"What is a warehouse task in SAP EWM?","['A type of storage bin', 'A unit of work that needs to be performed in the warehouse, such as putaway or picking', 'A type of warehouse worker', 'A type of material movement']",1
8,"What are the different types of physical inventory in SAP EWM?","['Only cycle counting', 'Cycle counting, continuous inventory, and annual inventory', 'Only annual inventory', 'Only continuous inventory']",1
9,"How does SAP EWM integrate with SAP ERP?","['Through manual data entry', 'Through real-time integration using middleware or direct integration', 'Through batch processing only', 'Through file transfers']",1
10,"What is a handling unit in SAP EWM?","['A type of storage bin', 'A physical unit consisting of packaging materials and the materials contained in them', 'A type of warehouse worker', 'A type of material movement']",1
11,"What is wave management in SAP EWM?","['A type of storage bin', 'The process of grouping warehouse tasks for efficient execution', 'A type of picking strategy', 'A type of warehouse layout']",1
12,"What are the different warehouse order creation rules (WOCR) in SAP EWM?","['Only fixed rules', 'Fixed rules, dynamic rules, and manual rules', 'Only dynamic rules', 'Only manual rules']",1
13,"What are the key benefits of Labor Management in SAP EWM?","['Only time tracking', 'Labor tracking, performance measurement, and productivity optimization', 'Only performance measurement', 'Only productivity optimization']",1
14,"How does SAP EWM support RF (Radio Frequency) transactions?","['Through manual data entry', 'Through real-time data capture and processing using RF devices', 'Through batch processing only', 'Through file transfers']",1
15,"What are the different types of storage control in SAP EWM?","['Only fixed bin storage', 'Fixed bin storage, dynamic storage, and process-oriented storage', 'Only dynamic storage', 'Only process-oriented storage']",1
16,"What are the key master data elements in SAP EWM?","['Only product master', 'Product master, storage bin master, packaging material master, and resource master', 'Only storage bin master', 'Only packaging material master']",1
17,"How does slotting and rearrangement work in SAP EWM?","['Through manual processes only', 'Through automated processes based on product characteristics and demand patterns', 'Through batch processing only', 'Through file transfers']",1
18,"Explain the concept of queuing in SAP EWM.","['A type of storage bin', 'A mechanism to manage and prioritize warehouse tasks', 'A type of picking strategy', 'A type of warehouse layout']",1
19,"What are the main warehouse monitor functions in SAP EWM?","['Only basic monitoring', 'Task monitoring, resource monitoring, and exception monitoring', 'Only resource monitoring', 'Only exception monitoring']",1
20,"What is the difference between process-oriented and layout-oriented storage control?","['Process-oriented is for small warehouses, layout-oriented is for large warehouses', 'Process-oriented focuses on workflow, layout-oriented focuses on physical structure', 'They are identical concepts', 'Process-oriented is manual, layout-oriented is automated']",1
